xiaoqu,total_price,unit_price,region,build_area,house_area,room,orientations,guapai_time,url
泽丰苑一期,726,78871,五棵松,92.05㎡,83.09㎡,2室1厅1厨1卫,东北,2018-03-31,https://bj.ke.com/ershoufang/101102720003.html
永定华庭,750,93997,五棵松,79.79㎡,60.03㎡,2室1厅1厨1卫,东 北,2018-04-21,https://bj.ke.com/ershoufang/101102792836.html
永金里小区,700,69321,五棵松,100.98㎡,80.55㎡,2室1厅1厨1卫,东,2018-05-06,https://bj.ke.com/ershoufang/101102843312.html
今日家园,655,64948,五棵松,100.85㎡,暂无数据,2室2厅1厨1卫,西,2018-06-03,https://bj.ke.com/ershoufang/101102940419.html
华清嘉园,800,107600,五道口,74.35㎡,暂无数据,2室1厅1厨1卫,东 南,2018-01-26,https://bj.ke.com/ershoufang/101102521298.html
成府公馆,800,117371,五道口,68.16㎡,57.12㎡,2室1厅1厨1卫,南 北,2018-01-31,https://bj.ke.com/ershoufang/101102533493.html
暂安处,730,87931,五道口,83.02㎡,暂无数据,2室1厅1厨1卫,南 北,2018-04-28,https://bj.ke.com/ershoufang/101102815432.html
华清嘉园,750,134097,五道口,55.93㎡,暂无数据,2室0厅1厨1卫,南,2018-05-05,https://bj.ke.com/ershoufang/101102838675.html
暂安处,690,82744,五道口,83.39㎡,暂无数据,2室1厅1厨1卫,南 北,2018-06-14,https://bj.ke.com/ershoufang/101102977133.html
成府路20号院,650,95998,五道口,67.71㎡,暂无数据,2室1厅1厨1卫,南 北,2018-06-20,https://bj.ke.com/ershoufang/101102998123.html
保利金泉,760,118233,亚运村,64.28㎡,50.41㎡,2室1厅1厨1卫,北,2017-10-14,https://bj.ke.com/ershoufang/101102187965.html
安慧北里逸园,705,67150,亚运村,104.99㎡,85.97㎡,2室1厅1厨1卫,东南,2017-10-28,https://bj.ke.com/ershoufang/101102242997.html
大屯里小区,670,61087,亚运村,109.68㎡,88.52㎡,2室1厅1厨1卫,西北,2017-11-09,https://bj.ke.com/ershoufang/101102287564.html
保利金泉,800,81475,亚运村,98.19㎡,77㎡,2室2厅1厨1卫,东,2017-11-10,https://bj.ke.com/ershoufang/101102290212.html
阳光新干线,780,77328,亚运村,100.87㎡,83.91㎡,2室1厅1厨1卫,东 北,2018-01-03,https://bj.ke.com/ershoufang/101102455450.html
