xiaoqu,total_price,unit_price,region,build_area,house_area,room,orientations,guapai_time,url
安慧北里逸园,655,69570,亚运村,94.15㎡,73.93㎡,2室1厅1厨1卫,西南,2018-04-22,https://bj.ke.com/ershoufang/101102796629.html
华贸城,675,76031,北苑,88.78㎡,70.67㎡,2室1厅1厨1卫,东 南 北,2018-03-06,https://bj.ke.com/ershoufang/101102615038.html
润泽悦溪,730,81784,北苑,89.26㎡,71.78㎡,2室2厅1厨1卫,南 北,2018-06-05,https://bj.ke.com/ershoufang/101102946330.html
万科星园,800,74129,奥林匹克公园,107.92㎡,88.7㎡,2室1厅1厨1卫,东南,2018-01-01,https://bj.ke.com/ershoufang/101102450643.html
天居园,700,64445,奥林匹克公园,108.62㎡,86.67㎡,2室1厅1厨2卫,南 西北,2018-06-02,https://bj.ke.com/ershoufang/101102934572.html
胜古家园,660,89383,惠新西街,73.84㎡,50.32㎡,2室1厅1厨1卫,东南,2017-07-21,https://bj.ke.com/ershoufang/101101841236.html
芍药居北里,730,72616,芍药居,100.53㎡,82.1㎡,2室1厅1厨1卫,南 北,2018-06-01,https://bj.ke.com/ershoufang/101102934439.html
