xiaoqu,total_price,unit_price,district,region,build_area,house_area,room,orientations,guapai_time,url
九台2000家园,820,74478,朝阳,亚运村,110.1㎡,88.93㎡,2室1厅1厨2卫,西,2018-01-11,https://bj.ke.com/ershoufang/101102480273.html
九台2000家园,800,73254,朝阳,亚运村,109.21㎡,88.21㎡,2室1厅1厨2卫,东,2018-03-25,https://bj.ke.com/ershoufang/101102699640.html
保利金泉,760,118233,朝阳,亚运村,64.28㎡,50.41㎡,2室1厅1厨1卫,北,2017-10-14,https://bj.ke.com/ershoufang/101102187965.html
保利金泉,800,81475,朝阳,亚运村,98.19㎡,77㎡,2室2厅1厨1卫,东,2017-11-10,https://bj.ke.com/ershoufang/101102290212.html
保利金泉,830,84530,朝阳,亚运村,98.19㎡,77㎡,2室1厅1厨1卫,东北,2018-01-07,https://bj.ke.com/ershoufang/101102470340.html
保利金泉,800,81277,朝阳,亚运村,98.43㎡,77㎡,2室2厅1厨1卫,东北,2018-03-25,https://bj.ke.com/ershoufang/101102697873.html
保利金泉,850,79514,朝阳,亚运村,106.9㎡,83.83㎡,2室1厅1厨1卫,西北,2018-04-28,https://bj.ke.com/ershoufang/101102816589.html
保利金泉,810,82385,朝阳,亚运村,98.32㎡,77㎡,2室1厅1厨1卫,东,2018-05-09,https://bj.ke.com/ershoufang/101102854197.html
保利金泉,808,82181,朝阳,亚运村,98.32㎡,77㎡,2室2厅1厨1卫,东北,2018-05-27,https://bj.ke.com/ershoufang/101102915524.html
保利金泉,800,81475,朝阳,亚运村,98.19㎡,77㎡,2室1厅1厨1卫,东南,2018-06-01,https://bj.ke.com/ershoufang/101102933493.html
保利金泉,810,82385,朝阳,亚运村,98.32㎡,77㎡,2室1厅1厨1卫,东,2018-06-29,https://bj.ke.com/ershoufang/101103030468.html
华悦国际公寓,830,92904,朝阳,亚运村,89.34㎡,61.38㎡,2室1厅1厨1卫,西,2017-05-30,https://bj.ke.com/ershoufang/101101639672.html
大屯里小区,670,61087,朝阳,亚运村,109.68㎡,88.52㎡,2室1厅1厨1卫,西北,2017-11-09,https://bj.ke.com/ershoufang/101102287564.html
大屯里小区,650,70271,朝阳,亚运村,92.5㎡,77.96㎡,2室1厅1厨1卫,南,2018-07-08,https://bj.ke.com/ershoufang/101103064097.html
天创世缘,790,70643,朝阳,亚运村,111.83㎡,89.37㎡,2室2厅1厨2卫,南,2018-07-02,https://bj.ke.com/ershoufang/101103044173.html
安慧北里逸园,705,67150,朝阳,亚运村,104.99㎡,85.97㎡,2室1厅1厨1卫,东南,2017-10-28,https://bj.ke.com/ershoufang/101102242997.html
安慧北里逸园,700,82247,朝阳,亚运村,85.11㎡,66.18㎡,2室2厅1厨1卫,南 北,2018-05-03,https://bj.ke.com/ershoufang/101102832539.html
安慧北里逸园,650,76372,朝阳,亚运村,85.11㎡,66.18㎡,2室1厅1厨1卫,南 北,2018-07-07,https://bj.ke.com/ershoufang/101103063203.html
慧忠里,780,89399,朝阳,亚运村,87.25㎡,暂无数据,2室1厅1厨1卫,西南,2018-02-02,https://bj.ke.com/ershoufang/101102539086.html
润枫德尚苑,806,55149,朝阳,亚运村,146.15㎡,114㎡,2室1厅1厨1卫,西,2017-11-28,https://bj.ke.com/ershoufang/101102347346.html
润枫德尚苑,780,53734,朝阳,亚运村,145.16㎡,114㎡,2室1厅1厨1卫,西北,2018-03-21,https://bj.ke.com/ershoufang/101102678709.html
润枫德尚苑,710,49853,朝阳,亚运村,142.42㎡,111.85㎡,2室2厅1厨1卫,东,2018-04-28,https://bj.ke.com/ershoufang/101102814592.html
阳光新干线,780,77328,朝阳,亚运村,100.87㎡,83.91㎡,2室1厅1厨1卫,东 北,2018-01-03,https://bj.ke.com/ershoufang/101102455450.html
阳光新干线,830,72325,朝阳,亚运村,114.76㎡,94.07㎡,2室2厅1厨1卫,东 西,2018-06-07,https://bj.ke.com/ershoufang/101102956314.html
中安盛业,820,44051,朝阳,亚运村小营,186.15㎡,148.4㎡,2室1厅1厨1卫,西北,2018-02-26,https://bj.ke.com/ershoufang/101102576887.html
主场,650,86093,朝阳,亚运村小营,75.5㎡,61.39㎡,2室1厅1厨1卫,西,2018-04-03,https://bj.ke.com/ershoufang/101102730083.html
亚运豪庭,680,66498,朝阳,亚运村小营,102.26㎡,79.91㎡,2室1厅1厨1卫,西南,2018-05-25,https://bj.ke.com/ershoufang/101102908469.html
亚运豪庭,720,67842,朝阳,亚运村小营,106.13㎡,84.06㎡,2室1厅1厨1卫,东,2018-06-29,https://bj.ke.com/ershoufang/101103031228.html
凯旋城,700,61947,朝阳,亚运村小营,113㎡,90.4㎡,2室0厅0厨1卫,东北,2017-05-24,https://bj.ke.com/ershoufang/101101616515.html
凯旋城,760,73573,朝阳,亚运村小营,103.3㎡,1㎡,2室1厅1厨2卫,西南,2018-03-14,https://bj.ke.com/ershoufang/101102651750.html
华仑大厦,715,72952,朝阳,亚运村小营,98.01㎡,73.05㎡,2室1厅1厨1卫,东,2017-12-16,https://bj.ke.com/ershoufang/101102405004.html
华仑大厦,850,74983,朝阳,亚运村小营,113.36㎡,84.49㎡,2室1厅1厨1卫,南,2017-12-16,https://bj.ke.com/ershoufang/101102405018.html
嘉铭园,725,92181,朝阳,亚运村小营,78.65㎡,68.32㎡,2室1厅1厨1卫,南 北,2018-07-10,https://bj.ke.com/ershoufang/101103072836.html
嘉铭桐城A区,690,82202,朝阳,亚运村小营,83.94㎡,67.59㎡,2室1厅1厨1卫,东 西,2017-05-14,https://bj.ke.com/ershoufang/101101584928.html
嘉铭桐城A区,799,94691,朝阳,亚运村小营,84.38㎡,67.01㎡,2室1厅1厨1卫,东 西,2018-06-24,https://bj.ke.com/ershoufang/101103012848.html
