xiaoqu,total_price,unit_price,district,region,build_area,house_area,room,orientations,guapai_time,url
丽泽雅园,750,67295,丰台,马连道,111.45㎡,92.49㎡,2室1厅1厨1卫,西南 北,2018-05-14,https://bj.ke.com/ershoufang/101102871939.html
丽泽雅园,667,69968,丰台,马连道,95.33㎡,76.69㎡,2室1厅1厨1卫,南,2018-06-15,https://bj.ke.com/ershoufang/101102981300.html
康宁居,718,83016,丰台,马连道,86.49㎡,72.7㎡,2室2厅1厨1卫,西南,2018-02-07,https://bj.ke.com/ershoufang/101102549849.html
九台2000家园,820,74478,朝阳,亚运村,110.1㎡,88.93㎡,2室1厅1厨2卫,西,2018-01-11,https://bj.ke.com/ershoufang/101102480273.html
九台2000家园,800,73254,朝阳,亚运村,109.21㎡,88.21㎡,2室1厅1厨2卫,东,2018-03-25,https://bj.ke.com/ershoufang/101102699640.html
保利金泉,760,118233,朝阳,亚运村,64.28㎡,50.41㎡,2室1厅1厨1卫,北,2017-10-14,https://bj.ke.com/ershoufang/101102187965.html
保利金泉,800,81475,朝阳,亚运村,98.19㎡,77㎡,2室2厅1厨1卫,东,2017-11-10,https://bj.ke.com/ershoufang/101102290212.html
保利金泉,830,84530,朝阳,亚运村,98.19㎡,77㎡,2室1厅1厨1卫,东北,2018-01-07,https://bj.ke.com/ershoufang/101102470340.html
保利金泉,800,81277,朝阳,亚运村,98.43㎡,77㎡,2室2厅1厨1卫,东北,2018-03-25,https://bj.ke.com/ershoufang/101102697873.html
保利金泉,850,79514,朝阳,亚运村,106.9㎡,83.83㎡,2室1厅1厨1卫,西北,2018-04-28,https://bj.ke.com/ershoufang/101102816589.html
保利金泉,810,82385,朝阳,亚运村,98.32㎡,77㎡,2室1厅1厨1卫,东,2018-05-09,https://bj.ke.com/ershoufang/101102854197.html
保利金泉,808,82181,朝阳,亚运村,98.32㎡,77㎡,2室2厅1厨1卫,东北,2018-05-27,https://bj.ke.com/ershoufang/101102915524.html
保利金泉,800,81475,朝阳,亚运村,98.19㎡,77㎡,2室1厅1厨1卫,东南,2018-06-01,https://bj.ke.com/ershoufang/101102933493.html
保利金泉,808,82290,朝阳,亚运村,98.19㎡,77㎡,2室2厅1厨1卫,东,2018-06-07,https://bj.ke.com/ershoufang/101102953060.html
保利金泉,810,82385,朝阳,亚运村,98.32㎡,77㎡,2室1厅1厨1卫,东,2018-06-29,https://bj.ke.com/ershoufang/101103030468.html
华悦国际公寓,830,92904,朝阳,亚运村,89.34㎡,61.38㎡,2室1厅1厨1卫,西,2017-05-30,https://bj.ke.com/ershoufang/101101639672.html
大屯里小区,670,61087,朝阳,亚运村,109.68㎡,88.52㎡,2室1厅1厨1卫,西北,2017-11-09,https://bj.ke.com/ershoufang/101102287564.html
大屯里小区,650,70271,朝阳,亚运村,92.5㎡,77.96㎡,2室1厅1厨1卫,南,2018-07-08,https://bj.ke.com/ershoufang/101103064097.html
天创世缘,780,64914,朝阳,亚运村,120.16㎡,96.03㎡,2室2厅1厨2卫,东南,2018-04-28,https://bj.ke.com/ershoufang/101102815752.html
天创世缘,790,70643,朝阳,亚运村,111.83㎡,89.37㎡,2室2厅1厨2卫,南,2018-07-02,https://bj.ke.com/ershoufang/101103044173.html
安慧北里逸园,705,67150,朝阳,亚运村,104.99㎡,85.97㎡,2室1厅1厨1卫,东南,2017-10-28,https://bj.ke.com/ershoufang/101102242997.html
安慧北里逸园,700,82247,朝阳,亚运村,85.11㎡,66.18㎡,2室2厅1厨1卫,南 北,2018-05-03,https://bj.ke.com/ershoufang/101102832539.html
安慧北里逸园,660,77547,朝阳,亚运村,85.11㎡,66.18㎡,2室2厅1厨1卫,南 北,2018-07-01,https://bj.ke.com/ershoufang/101103037881.html
慧忠里,780,89399,朝阳,亚运村,87.25㎡,暂无数据,2室1厅1厨1卫,西南,2018-02-02,https://bj.ke.com/ershoufang/101102539086.html
润枫德尚苑,806,55149,朝阳,亚运村,146.15㎡,114㎡,2室1厅1厨1卫,西,2017-11-28,https://bj.ke.com/ershoufang/101102347346.html
润枫德尚苑,780,53734,朝阳,亚运村,145.16㎡,114㎡,2室1厅1厨1卫,西北,2018-03-21,https://bj.ke.com/ershoufang/101102678709.html
润枫德尚苑,710,49853,朝阳,亚运村,142.42㎡,111.85㎡,2室2厅1厨1卫,东,2018-04-28,https://bj.ke.com/ershoufang/101102814592.html
阳光新干线,780,77328,朝阳,亚运村,100.87㎡,83.91㎡,2室1厅1厨1卫,东 北,2018-01-03,https://bj.ke.com/ershoufang/101102455450.html
阳光新干线,830,72325,朝阳,亚运村,114.76㎡,94.07㎡,2室2厅1厨1卫,东 西,2018-06-07,https://bj.ke.com/ershoufang/101102956314.html
中安盛业,820,44051,朝阳,亚运村小营,186.15㎡,148.4㎡,2室1厅1厨1卫,西北,2018-02-26,https://bj.ke.com/ershoufang/101102576887.html
主场,650,86093,朝阳,亚运村小营,75.5㎡,61.39㎡,2室1厅1厨1卫,西,2018-04-03,https://bj.ke.com/ershoufang/101102730083.html
亚运豪庭,680,66498,朝阳,亚运村小营,102.26㎡,79.91㎡,2室1厅1厨1卫,西南,2018-05-25,https://bj.ke.com/ershoufang/101102908469.html
亚运豪庭,720,67842,朝阳,亚运村小营,106.13㎡,84.06㎡,2室1厅1厨1卫,东,2018-06-29,https://bj.ke.com/ershoufang/101103031228.html
凯旋城,700,61947,朝阳,亚运村小营,113㎡,90.4㎡,2室0厅0厨1卫,东北,2017-05-24,https://bj.ke.com/ershoufang/101101616515.html
凯旋城,760,73573,朝阳,亚运村小营,103.3㎡,1㎡,2室1厅1厨2卫,西南,2018-03-14,https://bj.ke.com/ershoufang/101102651750.html
华仑大厦,715,72952,朝阳,亚运村小营,98.01㎡,73.05㎡,2室1厅1厨1卫,东,2017-12-16,https://bj.ke.com/ershoufang/101102405004.html
华仑大厦,850,74983,朝阳,亚运村小营,113.36㎡,84.49㎡,2室1厅1厨1卫,南,2017-12-16,https://bj.ke.com/ershoufang/101102405018.html
嘉铭桐城A区,690,82202,朝阳,亚运村小营,83.94㎡,67.59㎡,2室1厅1厨1卫,东 西,2017-05-14,https://bj.ke.com/ershoufang/101101584928.html
嘉铭桐城A区,799,94691,朝阳,亚运村小营,84.38㎡,67.01㎡,2室1厅1厨1卫,东 西,2018-06-24,https://bj.ke.com/ershoufang/101103012848.html
嘉铭桐城B区,720,94130,朝阳,亚运村小营,76.49㎡,62.49㎡,2室1厅1厨1卫,东,2017-09-27,https://bj.ke.com/ershoufang/101102132506.html
嘉铭桐城C区,815,80399,朝阳,亚运村小营,101.37㎡,85.37㎡,2室2厅1厨1卫,西南,2018-05-29,https://bj.ke.com/ershoufang/101102922641.html
嘉铭桐城C区,845,75915,朝阳,亚运村小营,111.31㎡,94.53㎡,2室1厅1厨1卫,东,2018-06-01,https://bj.ke.com/ershoufang/101102931736.html
安慧东里,650,64549,朝阳,亚运村小营,100.7㎡,78.96㎡,2室1厅1厨2卫,西,2018-03-27,https://bj.ke.com/ershoufang/101102703884.html
安慧东里,650,75407,朝阳,亚运村小营,86.2㎡,暂无数据,2室2厅1厨1卫,西南,2018-06-05,https://bj.ke.com/ershoufang/101102948243.html
安慧东里,700,69514,朝阳,亚运村小营,100.7㎡,78.96㎡,2室2厅1厨1卫,东南,2018-06-17,https://bj.ke.com/ershoufang/101102989015.html
康斯丹郡,836,74193,朝阳,亚运村小营,112.68㎡,97.02㎡,2室1厅1厨2卫,西北,2017-10-31,https://bj.ke.com/ershoufang/101102253961.html
康斯丹郡,780,75965,朝阳,亚运村小营,102.68㎡,88.41㎡,2室1厅1厨1卫,西,2018-05-03,https://bj.ke.com/ershoufang/101102830026.html
欧陆经典,750,92559,朝阳,亚运村小营,81.03㎡,81.03㎡,2室1厅1厨1卫,西南,2017-12-09,https://bj.ke.com/ershoufang/101102383788.html
盛和家园,700,69847,朝阳,亚运村小营,100.22㎡,77.27㎡,2室1厅1厨1卫,东,2017-08-27,https://bj.ke.com/ershoufang/101102004772.html
盛和家园,650,64274,朝阳,亚运村小营,101.13㎡,78.09㎡,2室1厅1厨1卫,南,2017-12-09,https://bj.ke.com/ershoufang/101102384776.html
盛和家园,720,71842,朝阳,亚运村小营,100.22㎡,77.27㎡,2室1厅1厨1卫,东南,2018-01-07,https://bj.ke.com/ershoufang/101102468054.html
盛和家园,750,67794,朝阳,亚运村小营,110.63㎡,85.29㎡,2室1厅1厨1卫,南,2018-04-26,https://bj.ke.com/ershoufang/101102808876.html
紫薇天悦,830,82268,朝阳,亚运村小营,100.89㎡,81.62㎡,2室1厅1厨1卫,西南,2017-07-30,https://bj.ke.com/ershoufang/101101886193.html
紫薇天悦,810,80390,朝阳,亚运村小营,100.76㎡,81.62㎡,2室1厅1厨1卫,东南,2017-09-29,https://bj.ke.com/ershoufang/101102139572.html
紫薇天悦,820,81277,朝阳,亚运村小营,100.89㎡,81.62㎡,2室1厅1厨1卫,东南,2017-11-04,https://bj.ke.com/ershoufang/101102271100.html
紫薇天悦,820,81447,朝阳,亚运村小营,100.68㎡,81.6㎡,2室1厅1厨1卫,西南,2018-02-07,https://bj.ke.com/ershoufang/101102551904.html
紫薇天悦,790,77619,朝阳,亚运村小营,101.78㎡,82.44㎡,2室1厅1厨1卫,东南,2018-03-31,https://bj.ke.com/ershoufang/101102720864.html
紫薇天悦,800,79460,朝阳,亚运村小营,100.68㎡,81.6㎡,2室1厅1厨1卫,东南,2018-04-04,https://bj.ke.com/ershoufang/101102732356.html
紫薇天悦,850,84426,朝阳,亚运村小营,100.68㎡,81.6㎡,2室1厅1厨1卫,东南 南,2018-06-15,https://bj.ke.com/ershoufang/101102980359.html
紫薇天悦,790,78467,朝阳,亚运村小营,100.68㎡,81.6㎡,2室2厅1厨1卫,西南,2018-06-27,https://bj.ke.com/ershoufang/101103021972.html
紫薇天悦,780,77474,朝阳,亚运村小营,100.68㎡,81.6㎡,2室1厅1厨1卫,西南,2018-07-04,https://bj.ke.com/ershoufang/101103047798.html
锦绣馨园,690,71689,朝阳,亚运村小营,96.25㎡,74.16㎡,2室2厅1厨1卫,东南,2018-03-24,https://bj.ke.com/ershoufang/101102692392.html
锦绣馨园,750,68720,朝阳,亚运村小营,109.14㎡,90.28㎡,2室1厅1厨1卫,西南,2018-04-19,https://bj.ke.com/ershoufang/101102787775.html
锦绣馨园,750,73878,朝阳,亚运村小营,101.52㎡,83.98㎡,2室1厅1厨1卫,东南,2018-05-26,https://bj.ke.com/ershoufang/101102910713.html
阳明国际公寓,680,53624,朝阳,亚运村小营,126.81㎡,95.22㎡,2室2厅1厨2卫,东南,2018-04-30,https://bj.ke.com/ershoufang/101102821371.html
亚奥人家,790,68882,朝阳,健翔桥,114.69㎡,94.91㎡,2室1厅1厨1卫,南,2017-09-12,https://bj.ke.com/ershoufang/101102069334.html
亚奥人家,680,74204,朝阳,健翔桥,91.64㎡,暂无数据,2室1厅1厨1卫,东 北,2018-04-05,https://bj.ke.com/ershoufang/101102735052.html
华严北里8号院,700,85964,朝阳,健翔桥,81.43㎡,81.43㎡,2室1厅1厨1卫,东南,2017-08-19,https://bj.ke.com/ershoufang/101101969690.html
马甸经典家园,820,79884,朝阳,健翔桥,102.65㎡,83.94㎡,2室1厅1厨2卫,南 西 北,2017-12-21,https://bj.ke.com/ershoufang/101102421759.html
龙阁公寓,700,78874,朝阳,农展馆,88.75㎡,73.89㎡,2室1厅1厨1卫,西,2017-10-06,https://bj.ke.com/ershoufang/101102159464.html
世华泊郡,650,76247,朝阳,北苑,85.25㎡,68.22㎡,2室1厅1厨1卫,南,2018-03-04,https://bj.ke.com/ershoufang/101102609149.html
世华泊郡,710,78540,朝阳,北苑,90.4㎡,71.85㎡,2室1厅1厨1卫,南,2018-03-12,https://bj.ke.com/ershoufang/101102643610.html
世华泊郡,675,79142,朝阳,北苑,85.29㎡,68.24㎡,2室1厅1厨1卫,南,2018-04-08,https://bj.ke.com/ershoufang/101102748687.html
世华泊郡,660,77393,朝阳,北苑,85.28㎡,68.24㎡,2室1厅1厨1卫,南,2018-04-29,https://bj.ke.com/ershoufang/101102817976.html
世华泊郡,670,78694,朝阳,北苑,85.14㎡,68.26㎡,2室1厅1厨1卫,南,2018-05-03,https://bj.ke.com/ershoufang/101102833470.html
世华泊郡,655,76305,朝阳,北苑,85.84㎡,68.68㎡,2室1厅1厨1卫,南,2018-05-13,https://bj.ke.com/ershoufang/101102867636.html
中国铁建国际城,660,86084,朝阳,北苑,76.67㎡,59.21㎡,2室1厅1厨1卫,南,2017-05-18,https://bj.ke.com/ershoufang/101101597576.html
中国铁建国际城,660,86084,朝阳,北苑,76.67㎡,59.21㎡,2室1厅1厨1卫,南,2018-03-14,https://bj.ke.com/ershoufang/101102651056.html
中国铁建国际城,650,87602,朝阳,北苑,74.2㎡,56.84㎡,2室1厅1厨1卫,南,2018-05-07,https://bj.ke.com/ershoufang/101102847655.html
中国铁建国际城,650,87602,朝阳,北苑,74.2㎡,56.84㎡,2室1厅1厨1卫,南,2018-06-09,https://bj.ke.com/ershoufang/101102960892.html
中国铁建国际城,650,92475,朝阳,北苑,70.29㎡,54.28㎡,2室1厅1厨1卫,南,2018-06-19,https://bj.ke.com/ershoufang/101102994457.html
中国铁建花语城,820,91610,朝阳,北苑,89.51㎡,67.26㎡,2室1厅1厨1卫,南 北,2017-08-27,https://bj.ke.com/ershoufang/101102004487.html
中国铁建花语城,800,89306,朝阳,北苑,89.58㎡,67.26㎡,2室2厅1厨1卫,南 北,2018-01-14,https://bj.ke.com/ershoufang/101102489840.html
中国铁建花语城,775,86351,朝阳,北苑,89.75㎡,67.44㎡,2室1厅1厨1卫,南 北,2018-05-27,https://bj.ke.com/ershoufang/101102916671.html
中国铁建花语城,790,88190,朝阳,北苑,89.58㎡,67.26㎡,2室1厅1厨1卫,南 北,2018-06-10,https://bj.ke.com/ershoufang/101102966164.html
亚奥金茂悦,836,86151,朝阳,北苑,97.04㎡,79.99㎡,2室2厅1厨1卫,东南,2018-03-31,https://bj.ke.com/ershoufang/101102718713.html
亚奥金茂悦,850,87548,朝阳,北苑,97.09㎡,79.99㎡,2室1厅1厨1卫,南 西南,2018-05-03,https://bj.ke.com/ershoufang/101102831231.html
北京青年城,662,59002,朝阳,北苑,112.2㎡,90.16㎡,2室1厅1厨1卫,东 南 北,2017-05-16,https://bj.ke.com/ershoufang/101101589233.html
北京青年城,680,58135,朝阳,北苑,116.97㎡,101.91㎡,2室1厅1厨2卫,南 北,2018-03-28,https://bj.ke.com/ershoufang/101102709837.html
北苑家园望春园,700,64428,朝阳,北苑,108.65㎡,88.44㎡,2室1厅1厨2卫,南 北,2018-03-31,https://bj.ke.com/ershoufang/101102721021.html
北苑家园望春园,700,64428,朝阳,北苑,108.65㎡,88.44㎡,2室2厅1厨2卫,南 北,2018-05-08,https://bj.ke.com/ershoufang/101102851296.html
北苑家园望春园,690,64204,朝阳,北苑,107.47㎡,87.48㎡,2室1厅1厨1卫,南 北,2018-05-25,https://bj.ke.com/ershoufang/101102908307.html
北苑家园望春园,710,66078,朝阳,北苑,107.45㎡,87.48㎡,2室1厅1厨2卫,南 北,2018-06-22,https://bj.ke.com/ershoufang/101103006001.html
北苑家园清友园,675,57668,朝阳,北苑,117.05㎡,94㎡,2室1厅1厨2卫,南,2018-01-01,https://bj.ke.com/ershoufang/101102451590.html
华贸城,750,78948,朝阳,北苑,95㎡,75.62㎡,2室1厅1厨1卫,南,2017-05-18,https://bj.ke.com/ershoufang/101101596116.html
华贸城,850,77676,朝阳,北苑,109.43㎡,88.27㎡,2室2厅1厨1卫,南,2017-06-26,https://bj.ke.com/ershoufang/101101742336.html
华贸城,660,74342,朝阳,北苑,88.78㎡,70.67㎡,2室1厅1厨1卫,东 南 北,2018-03-06,https://bj.ke.com/ershoufang/101102615038.html
华贸城,710,73721,朝阳,北苑,96.31㎡,74.44㎡,2室2厅1厨1卫,南,2018-03-20,https://bj.ke.com/ershoufang/101102675399.html
华贸城,750,79064,朝阳,北苑,94.86㎡,75.01㎡,2室1厅1厨1卫,南,2018-04-22,https://bj.ke.com/ershoufang/101102797446.html
华贸城,690,80505,朝阳,北苑,85.71㎡,67.25㎡,2室1厅1厨1卫,南,2018-05-12,https://bj.ke.com/ershoufang/101102865474.html
华贸城,665,83711,朝阳,北苑,79.44㎡,62.33㎡,2室2厅1厨1卫,南,2018-05-21,https://bj.ke.com/ershoufang/101102893122.html
华贸城,755,80741,朝阳,北苑,93.51㎡,74.52㎡,2室1厅1厨1卫,南,2018-05-27,https://bj.ke.com/ershoufang/101102914936.html
华贸城,670,76033,朝阳,北苑,88.12㎡,70.23㎡,2室1厅1厨1卫,东 北,2018-05-28,https://bj.ke.com/ershoufang/101102917750.html
华贸城,745,77864,朝阳,北苑,95.68㎡,76.25㎡,2室2厅1厨1卫,东南,2018-07-06,https://bj.ke.com/ershoufang/101103055774.html
天润福熙大道,840,82353,朝阳,北苑,102㎡,76.5㎡,2室2厅1厨1卫,南,2017-08-02,https://bj.ke.com/ershoufang/101101897939.html
天润福熙大道,660,90017,朝阳,北苑,73.32㎡,58.82㎡,2室1厅1厨1卫,南,2018-05-23,https://bj.ke.com/ershoufang/101102899536.html
天润福熙大道,650,88653,朝阳,北苑,73.32㎡,58.82㎡,2室1厅1厨1卫,南,2018-05-27,https://bj.ke.com/ershoufang/101102913399.html
天润福熙大道,760,89623,朝阳,北苑,84.8㎡,63.45㎡,2室1厅1厨1卫,南,2018-06-06,https://bj.ke.com/ershoufang/101102951571.html
